Pulse Height /electron (V);

9.617189446e-10

Npe*G_PMT  t_b (ns)  t_r (ns)  t_f (ns);
1.78e+08    -6.585    -4.475    16.45
1.79e+08    -6.585    -4.485    16.45
1.8e+08    -6.585    -4.485    16.48
1.81e+08    -6.585    -4.495    16.48
1.82e+08    -6.585    -4.495    16.5
1.83e+08    -6.585    -4.495    16.52
1.84e+08    -6.585    -4.505    16.52
1.85e+08    -6.585    -4.505    16.54
1.86e+08    -6.585    -4.515    16.55
1.87e+08    -6.585    -4.515    16.57
1.88e+08    -6.585    -4.525    16.57
1.89e+08    -6.585    -4.525    16.59
1.9e+08    -6.585    -4.535    16.61
1.91e+08    -6.585    -4.535    16.61
1.92e+08    -6.585    -4.545    16.62
1.93e+08    -6.585    -4.545    16.64
1.94e+08    -6.585    -4.545    16.66
1.95e+08    -6.585    -4.555    16.66
1.96e+08    -6.585    -4.555    16.68
1.97e+08    -6.585    -4.565    16.7
1.98e+08    -6.585    -4.565    16.7
1.99e+08    -6.585    -4.575    16.71
2e+08    -6.585    -4.575    16.73
2.01e+08    -6.585    -4.575    16.75
2.02e+08    -6.585    -4.585    16.75
2.03e+08    -6.585    -4.585    16.77
2.04e+08    -6.585    -4.595    16.77
2.05e+08    -6.585    -4.595    16.79
2.06e+08    -6.585    -4.605    16.79
2.07e+08    -6.585    -4.605    16.82
2.08e+08    -6.585    -4.605    16.82
2.09e+08    -6.585    -4.615    16.84
2.1e+08    -6.585    -4.615    16.84
2.11e+08    -6.585    -4.625    16.86
2.12e+08    -6.585    -4.625    16.86
2.13e+08    -6.585    -4.625    16.88
2.14e+08    -6.585    -4.635    16.89
2.15e+08    -6.585    -4.635    16.91
2.16e+08    -6.585    -4.645    16.91
2.17e+08    -6.585    -4.645    16.93
2.18e+08    -6.585    -4.645    16.93
2.19e+08    -6.585    -4.655    16.95
2.2e+08    -6.585    -4.655    16.95
2.21e+08    -6.585    -4.655    16.98
2.22e+08    -6.585    -4.665    16.98
2.23e+08    -6.585    -4.665    17
2.24e+08    -6.585    -4.675    17
2.25e+08    -6.585    -4.675    17.01
2.26e+08    -6.585    -4.675    17.03
2.27e+08    -6.585    -4.685    17.04
2.28e+08    -6.585    -4.685    17.04
2.29e+08    -6.585    -4.685    17.05
2.3e+08    -6.585    -4.695    17.07
2.31e+08    -6.585    -4.695    17.07
2.32e+08    -6.585    -4.695    17.08
2.33e+08    -6.585    -4.705    17.1
2.34e+08    -6.585    -4.705    17.11
2.35e+08    -6.585    -4.715    17.11
2.36e+08    -6.585    -4.715    17.12
2.37e+08    -6.585    -4.715    17.14
2.38e+08    -6.585    -4.725    17.14
2.39e+08    -6.585    -4.725    17.17
2.4e+08    -6.585    -4.725    17.18
2.41e+08    -6.585    -4.735    17.18
2.42e+08    -6.585    -4.735    17.19
2.43e+08    -6.585    -4.735    17.21
2.44e+08    -6.585    -4.745    17.21
2.45e+08    -6.585    -4.745    17.22
2.46e+08    -6.585    -4.745    17.22
2.47e+08    -6.585    -4.755    17.24
2.48e+08    -6.585    -4.755    17.25
2.49e+08    -6.585    -4.755    17.25
2.5e+08    -6.585    -4.765    17.26
2.51e+08    -6.585    -4.765    17.28
2.52e+08    -6.585    -4.765    17.29
2.53e+08    -6.585    -4.775    17.29
2.54e+08    -6.585    -4.775    17.3
2.55e+08    -6.585    -4.775    17.32
2.56e+08    -6.585    -4.785    17.32
2.57e+08    -6.585    -4.785    17.33
2.58e+08    -6.585    -4.785    17.35
2.59e+08    -6.585    -4.795    17.36
2.6e+08    -6.585    -4.795    17.36
2.61e+08    -6.585    -4.795    17.37
2.62e+08    -6.585    -4.805    17.39
2.63e+08    -6.585    -4.805    17.39
2.64e+08    -6.585    -4.805    17.4
2.65e+08    -6.585    -4.805    17.4
2.66e+08    -6.585    -4.815    17.42
2.67e+08    -6.585    -4.815    17.43
2.68e+08    -6.585    -4.815    17.43
2.69e+08    -6.585    -4.825    17.44
2.7e+08    -6.585    -4.825    17.46
2.71e+08    -6.585    -4.825    17.46
2.72e+08    -6.585    -4.835    17.47
2.73e+08    -6.585    -4.835    17.49
2.74e+08    -6.585    -4.835    17.5
2.75e+08    -6.585    -4.835    17.5
2.76e+08    -6.585    -4.845    17.5
2.77e+08    -6.585    -4.845    17.51
2.78e+08    -6.585    -4.845    17.53
2.79e+08    -6.585    -4.855    17.54
2.8e+08    -6.585    -4.855    17.54
2.81e+08    -6.585    -4.855    17.55
2.82e+08    -6.585    -4.865    17.55
2.83e+08    -6.585    -4.865    17.57
2.84e+08    -6.585    -4.865    17.57
2.85e+08    -6.585    -4.865    17.58
2.86e+08    -6.585    -4.875    17.6
2.87e+08    -6.585    -4.875    17.61
2.88e+08    -6.585    -4.875    17.61
2.89e+08    -6.585    -4.875    17.61
2.9e+08    -6.585    -4.885    17.62
2.91e+08    -6.585    -4.885    17.64
2.92e+08    -6.585    -4.885    17.64
2.93e+08    -6.585    -4.895    17.65
2.94e+08    -6.585    -4.895    17.65
2.95e+08    -6.585    -4.895    17.67
2.96e+08    -6.585    -4.895    17.68
2.97e+08    -6.585    -4.905    17.68
2.98e+08    -6.585    -4.905    17.69
2.99e+08    -6.585    -4.905    17.71
3e+08    -6.585    -4.915    17.71
3.01e+08    -6.585    -4.915    17.71
3.02e+08    -6.585    -4.915    17.72
3.03e+08    -6.585    -4.915    17.74
3.04e+08    -6.585    -4.925    17.75
3.05e+08    -6.585    -4.925    17.75
3.06e+08    -6.585    -4.925    17.75
3.07e+08    -6.585    -4.925    17.76
3.08e+08    -6.585    -4.935    17.78
3.09e+08    -6.585    -4.935    17.78
